labels,Intensity
"[3.07, 2.57]","[0.1625688  0.16631004 0.17742503 0.19560288 0.22037009 0.25113937
 0.28725308 0.32801346 0.37269888 0.42057005 0.47087073 0.52282716
 0.57564876 0.62853139 0.68066368 0.7312362  0.77945304 0.82454495
 0.86578341 0.90249478 0.93407379 0.95999594 0.97982826 0.99323812
 1.         1.         0.99323812 0.97982826 0.95999594 0.93407379
 0.90249478 0.86578341 0.82454495 0.77945304 0.7312362  0.68066368
 0.62853139 0.57564876 0.52282716 0.47087073 0.42057005 0.37269888
 0.32801346 0.28725308 0.25113937 0.22037009 0.19560288 0.17742503
 0.16631004 0.1625688 ]"
"[1.48, 0.84]","[1.         0.99307576 0.97239904 0.93825681 0.89112421 0.83165982
 0.76069924 0.67924705 0.58846738 0.48967301 0.38431322 0.27396025
 0.16029425 0.04508634 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04508634 0.16029425 0.27396025 0.38431322 0.48967301 0.58846738
 0.67924705 0.76069924 0.83165982 0.89112421 0.93825681 0.97239904
 0.99307576 1.        ]"
"[0.9, 0.88]","[1.         0.99436658 0.9775507  0.94980306 0.91153326 0.86329766
 0.80578238 0.73978181 0.66617252 0.58588271 0.49985662 0.40901306
 0.31419537 0.21610799 0.11523011 0.01168777 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01168777 0.11523011
 0.21610799 0.31419537 0.40901306 0.49985662 0.58588271 0.66617252
 0.73978181 0.80578238 0.86329766 0.91153326 0.94980306 0.9775507
 0.99436658 1.        ]"
"[0.02, 0.93]","[1.         0.99560893 0.98251102 0.96093065 0.93123689 0.89393584
 0.84965965 0.79915185 0.74324928 0.68286056 0.61894208 0.55247226
 0.4844254  0.41574668 0.34732979 0.27999895 0.21449739 0.151486
 0.09155938 0.03529584 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03529584 0.09155938 0.151486   0.21449739 0.27999895 0.34732979
 0.41574668 0.4844254  0.55247226 0.61894208 0.68286056 0.74324928
 0.79915185 0.84965965 0.89393584 0.93123689 0.96093065 0.98251102
 0.99560893 1.        ]"
"[2.06, 2.53]","[0.67616998 0.67749476 0.68144756 0.68796406 0.69693829 0.70822435
 0.7216388  0.7369636  0.75394954 0.77232022 0.79177635 0.81200044
 0.83266182 0.85342199 0.87394001 0.89387818 0.91290762 0.93071382
 0.947002   0.9615021  0.97397345 0.98420887 0.99203821 0.99733127
 1.         1.         0.99733127 0.99203821 0.98420887 0.97397345
 0.9615021  0.947002   0.93071382 0.91290762 0.89387818 0.87394001
 0.85342199 0.83266182 0.81200044 0.79177635 0.77232022 0.75394954
 0.7369636  0.7216388  0.70822435 0.69693829 0.68796406 0.68144756
 0.67749476 0.67616998]"
"[1.65, 1.53]","[0.75496085 0.75597484 0.75899971 0.76398444 0.77084513 0.7794665
 0.7897041  0.80138688 0.8143203  0.82828971 0.84306401 0.85839956
 0.87404419 0.88974132 0.90523407 0.92026938 0.93460203 0.94799854
 0.96024088 0.97112993 0.98048864 0.98816491 0.99403398 0.9980005
 1.         1.         0.9980005  0.99403398 0.98816491 0.98048864
 0.97112993 0.96024088 0.94799854 0.93460203 0.92026938 0.90523407
 0.88974132 0.87404419 0.85839956 0.84306401 0.82828971 0.8143203
 0.80138688 0.7897041  0.7794665  0.77084513 0.76398444 0.75899971
 0.75597484 0.75496085]"
"[0.22, 0.86]","[1.         0.99537296 0.98157051 0.95882691 0.92752676 0.88819601
 0.84148932 0.78817364 0.72910802 0.66522028 0.59748093 0.5268752
 0.45437425 0.38090625 0.30732815 0.23439832 0.16274999 0.09286653
 0.02506402 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.02506402 0.09286653 0.16274999 0.23439832 0.30732815
 0.38090625 0.45437425 0.5268752  0.59748093 0.66522028 0.72910802
 0.78817364 0.84148932 0.88819601 0.92752676 0.95882691 0.98157051
 0.99537296 1.        ]"
"[3.08, 1.89]","[0.         0.         0.         0.         0.         0.
 0.00511062 0.06997951 0.13668429 0.2053756  0.27583781 0.3475945
 0.41997494 0.49216114 0.56322679 0.63217353 0.69796652 0.75956949
 0.8159781  0.86625065 0.90953497 0.94509075 0.97230714 0.99071581
 1.         1.         0.99071581 0.97230714 0.94509075 0.90953497
 0.86625065 0.8159781  0.75956949 0.69796652 0.63217353 0.56322679
 0.49216114 0.41997494 0.3475945  0.27583781 0.2053756  0.13668429
 0.06997951 0.00511062 0.         0.         0.         0.
 0.         0.        ]"
"[2.1, 1.1]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.07272528 0.15102816 0.23053745 0.31050133
 0.39012029 0.46854125 0.54486546 0.61816374 0.68749593 0.75193236
 0.8105762  0.86258569 0.90719517 0.94373455 0.97164623 0.99049921
 1.         1.         0.99049921 0.97164623 0.94373455 0.90719517
 0.86258569 0.8105762  0.75193236 0.68749593 0.61816374 0.54486546
 0.46854125 0.39012029 0.31050133 0.23053745 0.15102816 0.07272528
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[0.18, 2.42]","[1.         0.99648124 0.9859848  0.96868909 0.94488772 0.91498386
 0.87948229 0.83897911 0.79414934 0.74573269 0.69451796 0.64132691
 0.58699844 0.53237399 0.47828542 0.42554611 0.37494619 0.32725193
 0.2832091  0.24354809 0.20898729 0.18022832 0.15793564 0.14269489
 0.13495253 0.13495253 0.14269489 0.15793564 0.18022832 0.20898729
 0.24354809 0.2832091  0.32725193 0.37494619 0.42554611 0.47828542
 0.53237399 0.58699844 0.64132691 0.69451796 0.74573269 0.79414934
 0.83897911 0.87948229 0.91498386 0.94488772 0.96868909 0.9859848
 0.99648124 1.        ]"
"[2.41, 0.31]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.04844413
 0.16310337 0.27464667 0.38194453 0.48388398 0.57937385 0.6673578
 0.74683149 0.81686173 0.87660574 0.92532953 0.96242441 0.98742097
 1.         1.         0.98742097 0.96242441 0.92532953 0.87660574
 0.81686173 0.74683149 0.6673578  0.57937385 0.48388398 0.38194453
 0.27464667 0.16310337 0.04844413 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[0.88, 2.61]","[1.         0.99847209 0.99391381 0.98640116 0.97605932 0.96306058
 0.94762135 0.92999847 0.91048475 0.88940393 0.86710505 0.84395654
 0.82033985 0.79664312 0.77325475 0.75055706 0.72892026 0.70869662
 0.690215   0.67377575 0.65964607 0.64805576 0.63919352 0.63320377
 0.63018425 0.63018425 0.63320377 0.63919352 0.64805576 0.65964607
 0.67377575 0.690215   0.70869662 0.72892026 0.75055706 0.77325475
 0.79664312 0.82033985 0.84395654 0.86710505 0.88940393 0.91048475
 0.92999847 0.94762135 0.96306058 0.97605932 0.98640116 0.99391381
 0.99847209 1.        ]"
"[1.1, 2.86]","[1.         0.99940938 0.99764728 0.9947428  0.9907439  0.98571659
 0.97974386 0.97292424 0.96537018 0.95720618 0.94856671 0.93959396
 0.93043551 0.92124186 0.91216394 0.90335069 0.89494654 0.88708914
 0.87990706 0.87351773 0.86802555 0.86352023 0.8600753  0.85774698
 0.85657325 0.85657325 0.85774698 0.8600753  0.86352023 0.86802555
 0.87351773 0.87990706 0.88708914 0.89494654 0.90335069 0.91216394
 0.92124186 0.93043551 0.93959396 0.94856671 0.95720618 0.96537018
 0.97292424 0.97974386 0.98571659 0.9907439  0.9947428  0.99764728
 0.99940938 1.        ]"
"[1.87, 1.89]","[0.55360745 0.55544988 0.56094564 0.57000092 0.58246186 0.59811802
 0.61670686 0.63791898 0.66140372 0.68677516 0.71361831 0.74149545
 0.76995275 0.79852702 0.82675273 0.85416922 0.88032792 0.90479969
 0.92718193 0.94710541 0.96424062 0.97830357 0.98906072 0.99633322
 1.         1.         0.99633322 0.98906072 0.97830357 0.96424062
 0.94710541 0.92718193 0.90479969 0.88032792 0.85416922 0.82675273
 0.79852702 0.76995275 0.74149545 0.71361831 0.68677516 0.66140372
 0.63791898 0.61670686 0.59811802 0.58246186 0.57000092 0.56094564
 0.55544988 0.55360745]"
"[0.19, 2.98]","[1.         0.99880886 0.99525504 0.98939705 0.98133125 0.9711903
 0.95914083 0.9453807  0.93013567 0.91365564 0.89621055 0.87808599
 0.85957855 0.84099104 0.82262771 0.80478934 0.78776846 0.77184465
 0.75728001 0.74431486 0.73316366 0.72401137 0.71701017 0.71227673
 0.70989007 0.70989007 0.71227673 0.71701017 0.72401137 0.73316366
 0.74431486 0.75728001 0.77184465 0.78776846 0.80478934 0.82262771
 0.84099104 0.85957855 0.87808599 0.89621055 0.91365564 0.93013567
 0.9453807  0.95914083 0.9711903  0.98133125 0.98939705 0.99525504
 0.99880886 1.        ]"
"[2.93, 1.63]","[0.         0.         0.         0.         0.         0.
 0.         0.05376208 0.1223911  0.19259947 0.26437338 0.33733811
 0.41087374 0.48418459 0.5563495  0.6263645  0.6931826  0.7557517
 0.81305027 0.86411973 0.90809242 0.94421476 0.97186525 0.99056766
 1.         1.         0.99056766 0.97186525 0.94421476 0.90809242
 0.86411973 0.81305027 0.7557517  0.6931826  0.6263645  0.5563495
 0.48418459 0.41087374 0.33733811 0.26437338 0.19259947 0.1223911
 0.05376208 0.         0.         0.         0.         0.
 0.         0.        ]"
"[1.22, 0.79]","[1.         0.99263947 0.97064724 0.93428889 0.88399902 0.82036925
 0.74413189 0.65613951 0.55734087 0.4487538  0.33143578 0.20645326
 0.07485141 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.07485141 0.20645326 0.33143578 0.4487538  0.55734087
 0.65613951 0.74413189 0.82036925 0.88399902 0.93428889 0.97064724
 0.99263947 1.        ]"
"[0.92, 2.88]","[1.         0.9992344  0.99695026 0.99318539 0.98800206 0.981486
 0.97374493 0.96490676 0.95511742 0.94453845 0.93334423 0.92171913
 0.90985441 0.89794507 0.8861866  0.8747718  0.86388765 0.85371223
 0.84441188 0.83613849 0.82902709 0.82319368 0.81873336 0.81571881
 0.81419916 0.81419916 0.81571881 0.81873336 0.82319368 0.82902709
 0.83613849 0.84441188 0.85371223 0.86388765 0.8747718  0.8861866
 0.89794507 0.90985441 0.92171913 0.93334423 0.94453845 0.95511742
 0.96490676 0.97374493 0.981486   0.98800206 0.99318539 0.99695026
 0.9992344  1.        ]"
"[1.03, 1.72]","[1.         0.99697797 0.98796276 0.97310604 0.9526573  0.92695908
 0.89644024 0.8616076  0.82303602 0.78135728 0.73724821 0.69141838
 0.64459808 0.59752699 0.55094411 0.50557923 0.46214607 0.42133677
 0.38381713 0.35022119 0.32114367 0.29712848 0.27865211 0.26610244
 0.25975559 0.25975559 0.26610244 0.27865211 0.29712848 0.32114367
 0.35022119 0.38381713 0.42133677 0.46214607 0.50557923 0.55094411
 0.59752699 0.64459808 0.69141838 0.73724821 0.78135728 0.82303602
 0.8616076  0.89644024 0.92695908 0.9526573  0.97310604 0.98796276
 0.99697797 1.        ]"
"[0.24, 2.44]","[1.         0.99665984 0.98669608 0.97027784 0.94768355 0.91929564
 0.88559321 0.84714248 0.80458534 0.75862619 0.71001756 0.65954513
 0.60801301 0.55623005 0.50499803 0.45510258 0.40730719 0.36235033
 0.32094505 0.28377916 0.25151327 0.22477231 0.20412666 0.19006064
 0.18293195 0.18293195 0.19006064 0.20412666 0.22477231 0.25151327
 0.28377916 0.32094505 0.36235033 0.40730719 0.45510258 0.50499803
 0.55623005 0.60801301 0.65954513 0.71001756 0.75862619 0.80458534
 0.84714248 0.88559321 0.91929564 0.94768355 0.97027784 0.98669608
 0.99665984 1.        ]"
"[3.04, 1.69]","[0.         0.         0.         0.         0.         0.
 0.         0.04823299 0.11755185 0.18828976 0.2605141  0.33388967
 0.40781597 0.48150593 0.55404071 0.62441477 0.69157718 0.75447066
 0.81206796 0.86340485 0.9076085  0.94392092 0.97171704 0.99051797
 1.         1.         0.99051797 0.97171704 0.94392092 0.9076085
 0.86340485 0.81206796 0.75447066 0.69157718 0.62441477 0.55404071
 0.48150593 0.40781597 0.33388967 0.2605141  0.18828976 0.11755185
 0.04823299 0.         0.         0.         0.         0.
 0.         0.        ]"
"[1.16, 2.57]","[1.         0.99899291 0.99598833 0.99103611 0.98421833 0.975648
 0.96546712 0.95384424 0.94097167 0.92706216 0.91234537 0.89706396
 0.88146954 0.86581849 0.85036771 0.83537041 0.82107198 0.80770606
 0.79549075 0.7846252  0.77528635 0.76762621 0.76176938 0.75781111
 0.75581576 0.75581576 0.75781111 0.76176938 0.76762621 0.77528635
 0.7846252  0.79549075 0.80770606 0.82107198 0.83537041 0.85036771
 0.86581849 0.88146954 0.89706396 0.91234537 0.92706216 0.94097167
 0.95384424 0.96546712 0.975648   0.98421833 0.99103611 0.99598833
 0.99899291 1.        ]"
