labels,Intensity
"[0.41, 3.06]","[1.         0.99949673 0.9979952  0.99552014 0.9921123  0.98782777
 0.98273707 0.97692394 0.97048401 0.96352313 0.95615573 0.94850284
 0.94069014 0.93284591 0.92509889 0.91757622 0.9104013  0.90369185
 0.8975579  0.89210007 0.88740788 0.8835583  0.88061445 0.87862464
 0.87762151 0.87762151 0.87862464 0.88061445 0.8835583  0.88740788
 0.89210007 0.8975579  0.90369185 0.9104013  0.91757622 0.92509889
 0.93284591 0.94069014 0.94850284 0.95615573 0.96352313 0.97048401
 0.97692394 0.98273707 0.98782777 0.9921123  0.99552014 0.9979952
 0.99949673 1.        ]"
"[2.64, 2.24]","[0.18146475 0.18501984 0.19558921 0.2128988  0.23653093 0.26596609
 0.30061881 0.33986099 0.38303309 0.42944702 0.47838534 0.52910043
 0.58081597 0.63273183 0.68403242 0.73389838 0.78152051 0.82611527
 0.86694068 0.90331175 0.93461471 0.96031946 0.97998987 0.993292
 1.         1.         0.993292   0.97998987 0.96031946 0.93461471
 0.90331175 0.86694068 0.82611527 0.78152051 0.73389838 0.68403242
 0.63273183 0.58081597 0.52910043 0.47838534 0.42944702 0.38303309
 0.33986099 0.30061881 0.26596609 0.23653093 0.2128988  0.19558921
 0.18501984 0.18146475]"
"[2.21, 0.15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.23, 1.21]","[1.         0.99515754 0.98071362 0.95691706 0.92417715 0.88305511
 0.83425141 0.7785885  0.71698859 0.65044672 0.57999925 0.50668857
 0.43152449 0.35544232 0.27925546 0.20359661 0.12883239 0.05491503
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.05491503 0.12883239 0.20359661 0.27925546
 0.35544232 0.43152449 0.50668857 0.57999925 0.65044672 0.71698859
 0.7785885  0.83425141 0.88305511 0.92417715 0.95691706 0.98071362
 0.99515754 1.        ]"
"[1.04, 3.13]","[1.         0.99997055 0.99988267 0.99973781 0.99953835 0.99928757
 0.99898958 0.99864928 0.99827225 0.9978647  0.99743331 0.99698516
 0.99652761 0.99606819 0.99561443 0.99517378 0.99475347 0.99436042
 0.99400106 0.99368131 0.9934064  0.99318086 0.99300838 0.99289179
 0.99283302 0.99283302 0.99289179 0.99300838 0.99318086 0.9934064
 0.99368131 0.99400106 0.99436042 0.99475347 0.99517378 0.99561443
 0.99606819 0.99652761 0.99698516 0.99743331 0.9978647  0.99827225
 0.99864928 0.99898958 0.99928757 0.99953835 0.99973781 0.99988267
 0.99997055 1.        ]"
"[3.05, 0.44]","[0.19737175 0.20094171 0.21155722 0.2289453  0.25268146 0.28222515
 0.31695449 0.3561942  0.39923444 0.44534203 0.49376639 0.54374322
 0.59449777 0.64524931 0.69521734 0.74362968 0.78973233 0.83280055
 0.8721508  0.90715276 0.93724112 0.96192645 0.9808049  0.99356621
 1.         1.         0.99356621 0.9808049  0.96192645 0.93724112
 0.90715276 0.8721508  0.83280055 0.78973233 0.74362968 0.69521734
 0.64524931 0.59449777 0.54374322 0.49376639 0.44534203 0.39923444
 0.3561942  0.31695449 0.28222515 0.25268146 0.2289453  0.21155722
 0.20094171 0.19737175]"
"[1.53, 2.19]","[1.         0.99987405 0.99949825 0.99887879 0.99802586 0.99695346
 0.99567922 0.99422408 0.99261194 0.99086931 0.98902479 0.9871087
 0.98515249 0.9831883  0.98124836 0.97936454 0.97756775 0.97588749
 0.97435133 0.97298448 0.97180937 0.97084527 0.97010801 0.96960968
 0.96935845 0.96935845 0.96960968 0.97010801 0.97084527 0.97180937
 0.97298448 0.97435133 0.97588749 0.97756775 0.97936454 0.98124836
 0.9831883  0.98515249 0.9871087  0.98902479 0.99086931 0.99261194
 0.99422408 0.99567922 0.99695346 0.99802586 0.99887879 0.99949825
 0.99987405 1.        ]"
"[0.44, 3.07]","[1.         0.99957057 0.99828934 0.99617741 0.99326955 0.9896136
 0.98526973 0.98030939 0.97481416 0.96887438 0.96258769 0.95605736
 0.94939067 0.94269707 0.93608644 0.92966727 0.92354488 0.91781972
 0.91258568 0.90792861 0.90392487 0.90064014 0.89812827 0.89643044
 0.89557451 0.89557451 0.89643044 0.89812827 0.90064014 0.90392487
 0.90792861 0.91258568 0.91781972 0.92354488 0.92966727 0.93608644
 0.94269707 0.94939067 0.95605736 0.96258769 0.96887438 0.97481416
 0.98030939 0.98526973 0.9896136  0.99326955 0.99617741 0.99828934
 0.99957057 1.        ]"
"[0.08, 2.06]","[1.         0.99559528 0.98245676 0.96080998 0.93102651 0.89361689
 0.84922034 0.79859059 0.74257787 0.68210707 0.61815271 0.55171178
 0.48377567 0.41530296 0.34719461 0.2802733  0.21526865 0.15281125
 0.09344152 0.0376492  0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.0376492  0.09344152 0.15281125 0.21526865 0.2802733  0.34719461
 0.41530296 0.48377567 0.55171178 0.61815271 0.68210707 0.74257787
 0.79859059 0.84922034 0.89361689 0.93102651 0.96080998 0.98245676
 0.99559528 1.        ]"
"[2.62, 1.76]","[0.         0.         0.         0.         0.01233462 0.05614869
 0.10533078 0.15902424 0.21652674 0.27717474 0.34027863 0.40509149
 0.47079875 0.53652124 0.60132727 0.66425126 0.72431636 0.78055936
 0.83205599 0.87794499 0.91744982 0.94989722 0.97473211 0.99152899
 1.         1.         0.99152899 0.97473211 0.94989722 0.91744982
 0.87794499 0.83205599 0.78055936 0.72431636 0.66425126 0.60132727
 0.53652124 0.47079875 0.40509149 0.34027863 0.27717474 0.21652674
 0.15902424 0.10533078 0.05614869 0.01233462 0.         0.
 0.         0.        ]"
"[0.37, 2.08]","[1.         0.99610381 0.98448172 0.96533208 0.93898182 0.90588074
 0.8665931  0.82178624 0.77221625 0.71871081 0.66214981 0.60344455
 0.54351697 0.48328023 0.42362244 0.36539535 0.30940972 0.25643919
 0.20723414 0.16254618 0.12316086 0.08992891 0.06377264 0.04563137
 0.03631839 0.03631839 0.04563137 0.06377264 0.08992891 0.12316086
 0.16254618 0.20723414 0.25643919 0.30940972 0.36539535 0.42362244
 0.48328023 0.54351697 0.60344455 0.66214981 0.71871081 0.77221625
 0.82178624 0.8665931  0.90588074 0.93898182 0.96533208 0.98448172
 0.99610381 1.        ]"
"[0.59, 2.57]","[1.         0.99777072 0.99112032 0.98016049 0.96507523 0.94611761
 0.92360534 0.89791508 0.86947565 0.83876026 0.80627806 0.772565
 0.73817458 0.70366855 0.66960788 0.63654422 0.6050119  0.57552055
 0.54854809 0.52453412 0.5038733  0.48690875 0.47392549 0.4651441
 0.46071519 0.46071519 0.4651441  0.47392549 0.48690875 0.5038733
 0.52453412 0.54854809 0.57552055 0.6050119  0.63654422 0.66960788
 0.70366855 0.73817458 0.772565   0.80627806 0.83876026 0.86947565
 0.89791508 0.92360534 0.94611761 0.96507523 0.98016049 0.99112032
 0.99777072 1.        ]"
"[1.35, 2.17]","[1.         0.99904186 0.99618333 0.99147176 0.98498519 0.976831
 0.96714411 0.95608464 0.94383526 0.93059806 0.91659118 0.90204517
 0.88719918 0.87229696 0.85758295 0.84329822 0.82967663 0.81694103
 0.80529967 0.79494284 0.78603985 0.77873623 0.77315137 0.76937659
 0.76747364 0.76747364 0.76937659 0.77315137 0.77873623 0.78603985
 0.79494284 0.80529967 0.81694103 0.82967663 0.84329822 0.85758295
 0.87229696 0.88719918 0.90204517 0.91659118 0.93059806 0.94383526
 0.95608464 0.96714411 0.976831   0.98498519 0.99147176 0.99618333
 0.99904186 1.        ]"
"[1.72, 0.24]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.25, 2.12]","[1.         0.99596185 0.98391645 0.96406975 0.93676117 0.90245743
 0.86174358 0.81531091 0.7639416  0.70849039 0.64986387 0.58899827
 0.5268371  0.46431036 0.40231695 0.34171247 0.28330439 0.22785718
 0.17611037 0.12881294 0.08677528 0.0509316  0.02238211 0.00234947
 0.         0.         0.00234947 0.02238211 0.0509316  0.08677528
 0.12881294 0.17611037 0.22785718 0.28330439 0.34171247 0.40231695
 0.46431036 0.5268371  0.58899827 0.64986387 0.70849039 0.7639416
 0.81531091 0.86174358 0.90245743 0.93676117 0.96406975 0.98391645
 0.99596185 1.        ]"
"[2.77, 1.32]","[0.         0.         0.         0.         0.         0.
 0.         0.017388   0.09129516 0.16576114 0.2411509  0.31728594
 0.39365563 0.46952898 0.54402478 0.61616388 0.68491367 0.7492285
 0.80808674 0.86052441 0.90566451 0.94274173 0.9711222  0.99031845
 1.         1.         0.99031845 0.9711222  0.94274173 0.90566451
 0.86052441 0.80808674 0.7492285  0.68491367 0.61616388 0.54402478
 0.46952898 0.39365563 0.31728594 0.2411509  0.16576114 0.09129516
 0.017388   0.         0.         0.         0.         0.
 0.         0.        ]"
"[1.43, 0.88]","[1.         0.99458365 0.97840767 0.95169036 0.91479267 0.86821394
 0.8125863  0.74866784 0.67733495 0.59957412 0.51647352 0.42921458
 0.33906369 0.24736402 0.15552695 0.06502236 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.06502236 0.15552695
 0.24736402 0.33906369 0.42921458 0.51647352 0.59957412 0.67733495
 0.74866784 0.8125863  0.86821394 0.91479267 0.95169036 0.97840767
 0.99458365 1.        ]"
"[0.38, 2.11]","[1.         0.99618076 0.98478817 0.9660165  0.940186   0.90773723
 0.86922288 0.8252967  0.77669966 0.72424336 0.66879136 0.61123934
 0.55249511 0.49346006 0.43501368 0.37800264 0.32323612 0.2714888
 0.22351229 0.18005488 0.14188602 0.10981612 0.08469238 0.06734497
 0.05846885 0.05846885 0.06734497 0.08469238 0.10981612 0.14188602
 0.18005488 0.22351229 0.2714888  0.32323612 0.37800264 0.43501368
 0.49346006 0.55249511 0.61123934 0.66879136 0.72424336 0.77669966
 0.8252967  0.86922288 0.90773723 0.940186   0.9660165  0.98478817
 0.99618076 1.        ]"
"[0.2, 0.98]","[1.         0.99528461 0.98121926 0.95804468 0.92615637 0.88609574
 0.83853736 0.78427207 0.72418597 0.65923544 0.59041891 0.51874587
 0.44520425 0.37072645 0.29615415 0.22219995 0.1494021  0.07806408
 0.0081668  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0081668  0.07806408 0.1494021  0.22219995 0.29615415
 0.37072645 0.44520425 0.51874587 0.59041891 0.65923544 0.72418597
 0.78427207 0.83853736 0.88609574 0.92615637 0.95804468 0.98121926
 0.99528461 1.        ]"
"[3.04, 0.37]","[0.26996393 0.27314606 0.28261913 0.29816878 0.31945472 0.34603183
 0.37737253 0.41288724 0.45194076 0.49386457 0.53796577 0.58353408
 0.62984801 0.67618122 0.72180967 0.76601978 0.80811751 0.84743836
 0.88335767 0.91530109 0.94275467 0.96527428 0.98249389 0.99413259
 1.         1.         0.99413259 0.98249389 0.96527428 0.94275467
 0.91530109 0.88335767 0.84743836 0.80811751 0.76601978 0.72180967
 0.67618122 0.62984801 0.58353408 0.53796577 0.49386457 0.45194076
 0.41288724 0.37737253 0.34603183 0.31945472 0.29816878 0.28261913
 0.27314606 0.26996393]"
"[2.47, 0.26]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00781305 0.10206789 0.19714177
 0.29172771 0.38459079 0.47455337 0.56048903 0.64132367 0.71604192
 0.78369697 0.84342256 0.89444575 0.93609961 0.96783491 0.98923023
 1.         1.         0.98923023 0.96783491 0.93609961 0.89444575
 0.84342256 0.78369697 0.71604192 0.64132367 0.56048903 0.47455337
 0.38459079 0.29172771 0.19714177 0.10206789 0.00781305 0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[0.0, 2.55]","[1.         0.99646242 0.98590931 0.96851831 0.94458147 0.91449926
 0.87877224 0.8379906  0.79282178 0.74399659 0.69229435 0.63852785
 0.58352881 0.52813485 0.47317888 0.41948166 0.3678482  0.31906811
 0.27391921 0.23317232 0.19759313 0.1679346  0.14491214 0.12915644
 0.12114761 0.12114761 0.12915644 0.14491214 0.1679346  0.19759313
 0.23317232 0.27391921 0.31906811 0.3678482  0.41948166 0.47317888
 0.52813485 0.58352881 0.63852785 0.69229435 0.74399659 0.79282178
 0.8379906  0.87877224 0.91449926 0.94458147 0.96851831 0.98590931
 0.99646242 1.        ]"
"[0.52, 1.1]","[1.         0.99500199 0.98009277 0.95552474 0.92171185 0.87921928
 0.82874872 0.77111919 0.70724325 0.63809892 0.56469746 0.48804739
 0.40911426 0.3287747  0.2477602  0.16657958 0.08539547 0.00379658
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00379658 0.08539547 0.16657958 0.2477602
 0.3287747  0.40911426 0.48804739 0.56469746 0.63809892 0.70724325
 0.77111919 0.82874872 0.87921928 0.92171185 0.95552474 0.98009277
 0.99500199 1.        ]"
"[2.09, 0.56]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02637269 0.19259316 0.345562   0.48467734
 0.60912448 0.71799632 0.81038156 0.88543139 0.9424103  0.98073457
 1.         1.         0.98073457 0.9424103  0.88543139 0.81038156
 0.71799632 0.60912448 0.48467734 0.345562   0.19259316 0.02637269
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.41, 0.84]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01255633 0.11039639 0.20602734
 0.29958536 0.39073174 0.47883694 0.56309193 0.64258363 0.71635128
 0.78343214 0.8429001  0.893899   0.93567123 0.96758164 0.9891369
 1.         1.         0.9891369  0.96758164 0.93567123 0.893899
 0.8429001  0.78343214 0.71635128 0.64258363 0.56309193 0.47883694
 0.39073174 0.29958536 0.20602734 0.11039639 0.01255633 0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.19, 0.18]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[2.83, 1.67]","[0.         0.         0.         0.         0.         0.
 0.01404447 0.07768114 0.1434325  0.21133081 0.28109833 0.35222487
 0.42402112 0.49565922 0.56620832 0.63466893 0.70000749 0.76119054
 0.81721759 0.86715142 0.91014449 0.94546096 0.97249398 0.99077849
 1.         1.         0.99077849 0.97249398 0.94546096 0.91014449
 0.86715142 0.81721759 0.76119054 0.70000749 0.63466893 0.56620832
 0.49565922 0.42402112 0.35222487 0.28109833 0.21133081 0.1434325
 0.07768114 0.01404447 0.         0.         0.         0.
 0.         0.        ]"
"[1.68, 0.72]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.19287329 0.59418144 0.86422425
 1.         1.         0.86422425 0.59418144 0.19287329 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.38, 0.33]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.09923729 0.22030752 0.33634076 0.44627156 0.54902888 0.64355637
 0.72883602 0.80391249 0.86791673 0.92008791 0.95979266 0.98654123
 1.         1.         0.98654123 0.95979266 0.92008791 0.86791673
 0.80391249 0.72883602 0.64355637 0.54902888 0.44627156 0.33634076
 0.22030752 0.09923729 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[1.12, 0.8]","[1.         0.99331953 0.97336439 0.94039077 0.89481706 0.83721118
 0.76827286 0.68881129 0.59971806 0.5019354  0.39641955 0.28409855
 0.16582346 0.04231141 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04231141 0.16582346 0.28409855 0.39641955 0.5019354  0.59971806
 0.68881129 0.76827286 0.83721118 0.89481706 0.94039077 0.97336439
 0.99331953 1.        ]"
"[2.59, 1.1]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.04477901 0.12616847 0.20744193 0.28868483
 0.36954099 0.44937771 0.52738189 0.60262502 0.6741135  0.7408314
 0.80177854 0.85600467 0.90263964 0.94091946 0.97020776 0.99001281
 1.         1.         0.99001281 0.97020776 0.94091946 0.90263964
 0.85600467 0.80177854 0.7408314  0.6741135  0.60262502 0.52738189
 0.44937771 0.36954099 0.28868483 0.20744193 0.12616847 0.04477901
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[0.99, 1.29]","[1.         0.9958054  0.98329028 0.96265906 0.9342472  0.89851347
 0.85602926 0.80746534 0.75357635 0.69518362 0.633157   0.56839667
 0.50181587 0.43432587 0.36682479 0.30019197 0.23529051 0.17298113
 0.11415134 0.05976273 0.01091426 0.         0.         0.
 0.         0.         0.         0.         0.         0.01091426
 0.05976273 0.11415134 0.17298113 0.23529051 0.30019197 0.36682479
 0.43432587 0.50181587 0.56839667 0.633157   0.69518362 0.75357635
 0.80746534 0.85602926 0.89851347 0.9342472  0.96265906 0.98329028
 0.9958054  1.        ]"
"[1.12, 0.3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.86, 1.96]","[1.         0.99695831 0.98788474 0.97293296 0.952356   0.92650171
 0.8958063  0.86078603 0.82202718 0.78017452 0.73591868 0.6899829
 0.64310975 0.5960485  0.54954383 0.50432627 0.46110466 0.42056053
 0.3833437  0.35006804 0.32130547 0.2975766  0.27933634 0.26695468
 0.26069509 0.26069509 0.26695468 0.27933634 0.2975766  0.32130547
 0.35006804 0.3833437  0.42056053 0.46110466 0.50432627 0.54954383
 0.5960485  0.64310975 0.6899829  0.73591868 0.78017452 0.82202718
 0.86078603 0.8958063  0.92650171 0.952356   0.97293296 0.98788474
 0.99695831 1.        ]"
"[1.11, 0.84]","[1.         0.9937801  0.97520376 0.94451864 0.90212959 0.84858688
 0.78457004 0.71086741 0.62835174 0.53795193 0.44062112 0.33730082
 0.22888097 0.11615536 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11615536 0.22888097 0.33730082 0.44062112 0.53795193 0.62835174
 0.71086741 0.78457004 0.84858688 0.90212959 0.94451864 0.97520376
 0.9937801  1.        ]"
"[2.1, 0.59]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.11965291 0.26900427 0.40685291 0.53251386
 0.64513931 0.74381951 0.82765795 0.89582883 0.94762155 0.98247454
 1.         1.         0.98247454 0.94762155 0.89582883 0.82765795
 0.74381951 0.64513931 0.53251386 0.40685291 0.26900427 0.11965291
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[1.85, 2.82]","[0.89285566 0.89329522 0.89460673 0.89676875 0.89974596 0.90348968
 0.90793871 0.91302027 0.9186512  0.92473929 0.93118479 0.93788205
 0.9447212  0.95158999 0.95837559 0.9649665  0.97125433 0.97713563
 0.98251359 0.98729964 0.99141495 0.99479168 0.99737419 0.99911989
 1.         1.         0.99911989 0.99737419 0.99479168 0.99141495
 0.98729964 0.98251359 0.97713563 0.97125433 0.9649665  0.95837559
 0.95158999 0.9447212  0.93788205 0.93118479 0.92473929 0.9186512
 0.91302027 0.90793871 0.90348968 0.89974596 0.89676875 0.89460673
 0.89329522 0.89285566]"
"[0.68, 2.9]","[1.         0.99901041 0.99605806 0.99119191 0.98449262 0.97607121
 0.96606713 0.9546459  0.94199635 0.92832734 0.91386432 0.89884553
 0.88351799 0.8681335  0.85294441 0.83819959 0.82414032 0.81099648
 0.7989828  0.78829544 0.77910884 0.77157293 0.76581068 0.76191613
 0.75995283 0.75995283 0.76191613 0.76581068 0.77157293 0.77910884
 0.78829544 0.7989828  0.81099648 0.82414032 0.83819959 0.85294441
 0.8681335  0.88351799 0.89884553 0.91386432 0.92832734 0.94199635
 0.9546459  0.96606713 0.97607121 0.98449262 0.99119191 0.99605806
 0.99901041 1.        ]"
"[1.37, 2.47]","[1.         0.99941256 0.99765993 0.99477106 0.99079368 0.98579344
 0.97985287 0.97306999 0.96555663 0.95743662 0.94884367 0.9399192
 0.93080996 0.92166561 0.91263628 0.90387006 0.89551065 0.88769494
 0.88055084 0.8741952  0.86873189 0.8642502  0.86082329 0.85850713
 0.85733953 0.85733953 0.85850713 0.86082329 0.8642502  0.86873189
 0.8741952  0.88055084 0.88769494 0.89551065 0.90387006 0.91263628
 0.92166561 0.93080996 0.9399192  0.94884367 0.95743662 0.96555663
 0.97306999 0.97985287 0.98579344 0.99079368 0.99477106 0.99765993
 0.99941256 1.        ]"
"[1.99, 2.08]","[0.52064384 0.52261526 0.52849603 0.53818656 0.55152352 0.56828365
 0.58818842 0.61090947 0.63607438 0.66327271 0.69206231 0.72197577
 0.75252727 0.78321976 0.81355248 0.8430288  0.8711643  0.89749486
 0.92158461 0.94303353 0.96148454 0.9766298  0.98821624 0.99605003
 1.         1.         0.99605003 0.98821624 0.9766298  0.96148454
 0.94303353 0.92158461 0.89749486 0.8711643  0.8430288  0.81355248
 0.78321976 0.75252727 0.72197577 0.69206231 0.66327271 0.63607438
 0.61090947 0.58818842 0.56828365 0.55152352 0.53818656 0.52849603
 0.52261526 0.52064384]"
"[2.01, 0.4]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03540662 0.5163573  0.83847639
 1.         1.         0.83847639 0.5163573  0.03540662 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.69, 2.37]","[0.23414079 0.23740913 0.24713784 0.26310583 0.28496764 0.31227962
 0.34452462 0.3811308  0.42148346 0.46493143 0.51079052 0.55834632
 0.60685818 0.65556533 0.70369548 0.75047568 0.79514514 0.836969
 0.87525265 0.90935545 0.93870366 0.96280173 0.9812419  0.99371177
 1.         1.         0.99371177 0.9812419  0.96280173 0.93870366
 0.90935545 0.87525265 0.836969   0.79514514 0.75047568 0.70369548
 0.65556533 0.60685818 0.55834632 0.51079052 0.46493143 0.42148346
 0.3811308  0.34452462 0.31227962 0.28496764 0.26310583 0.24713784
 0.23740913 0.23414079]"
"[0.93, 2.72]","[1.         0.99883825 0.99537228 0.98965967 0.98179528 0.97190965
 0.9601668  0.94676143 0.9319156  0.91587495 0.89890455 0.88128438
 0.86330467 0.845261   0.82744947 0.81016178 0.79368062 0.778275
 0.76419608 0.75167315 0.74090997 0.7320816  0.72533159 0.72076968
 0.71847003 0.71847003 0.72076968 0.72533159 0.7320816  0.74090997
 0.75167315 0.76419608 0.778275   0.79368062 0.81016178 0.82744947
 0.845261   0.86330467 0.88128438 0.89890455 0.91587495 0.9319156
 0.94676143 0.9601668  0.97190965 0.98179528 0.98965967 0.99537228
 0.99883825 1.        ]"
"[2.45, 1.97]","[0.13772442 0.1415597  0.152944   0.1715351  0.19682552 0.22820593
 0.26501483 0.30656632 0.35215907 0.40107419 0.45256931 0.50587361
 0.56018659 0.61468148 0.66851309 0.72082979 0.77078822 0.81756983
 0.86039803 0.89855483 0.93139616 0.95836532 0.97900409 0.99296145
 1.         1.         0.99296145 0.97900409 0.95836532 0.93139616
 0.89855483 0.86039803 0.81756983 0.77078822 0.72082979 0.66851309
 0.61468148 0.56018659 0.50587361 0.45256931 0.40107419 0.35215907
 0.30656632 0.26501483 0.22820593 0.19682552 0.1715351  0.152944
 0.1415597  0.13772442]"
"[0.7, 2.04]","[1.         0.99671611 0.98692017 0.97077839 0.94856464 0.92065568
 0.8875242  0.8497299  0.80790834 0.76275809 0.71502631 0.66549365
 0.614959   0.56422524 0.51408664 0.46531892 0.41867227 0.37486757
 0.33459499 0.29851353 0.26724875 0.24138521 0.22145004 0.20788613
 0.20101787 0.20101787 0.20788613 0.22145004 0.24138521 0.26724875
 0.29851353 0.33459499 0.37486757 0.41867227 0.46531892 0.51408664
 0.56422524 0.614959   0.66549365 0.71502631 0.76275809 0.80790834
 0.8497299  0.8875242  0.92065568 0.94856464 0.97077839 0.98692017
 0.99671611 1.        ]"
"[2.71, 2.99]","[0.78144172 0.78233924 0.78501707 0.78943118 0.79550904 0.80315083
 0.8122311  0.82260087 0.83409011 0.84651049 0.85965845 0.87331855
 0.88726691 0.90127486 0.91511263 0.9285531  0.94137552 0.95336908
 0.96433647 0.97409709 0.98249008 0.98937703 0.99464428 0.99820488
 1.         1.         0.99820488 0.99464428 0.98937703 0.98249008
 0.97409709 0.96433647 0.95336908 0.94137552 0.9285531  0.91511263
 0.90127486 0.88726691 0.87331855 0.85965845 0.84651049 0.83409011
 0.82260087 0.8122311  0.80315083 0.79550904 0.78943118 0.78501707
 0.78233924 0.78144172]"
"[1.08, 0.76]","[1.         0.99303717 0.97223753 0.93786477 0.89034891 0.83027206
 0.75834869 0.67540011 0.58232317 0.48005242 0.36951474 0.25157397
 0.12696181 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.12696181 0.25157397 0.36951474 0.48005242 0.58232317
 0.67540011 0.75834869 0.83027206 0.89034891 0.93786477 0.97223753
 0.99303717 1.        ]"
"[1.15, 3.12]","[1.         0.99995745 0.99983051 0.99962126 0.99933313 0.99897087
 0.99854041 0.99804884 0.99750422 0.99691551 0.99629236 0.99564501
 0.9949841  0.99432047 0.99366502 0.99302852 0.99242141 0.99185366
 0.9913346  0.99087273 0.99047565 0.99014987 0.98990073 0.98973234
 0.98964744 0.98964744 0.98973234 0.98990073 0.99014987 0.99047565
 0.99087273 0.9913346  0.99185366 0.99242141 0.99302852 0.99366502
 0.99432047 0.9949841  0.99564501 0.99629236 0.99691551 0.99750422
 0.99804884 0.99854041 0.99897087 0.99933313 0.99962126 0.99983051
 0.99995745 1.        ]"
